time,open,close,high,low,volume_24h,market_cap,market_dominance,circulating_supply,sentiment,galaxy_score,alt_rank,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,volatility,spam
2024-05-16 08:00:00,66163.86,66265.74,66265.74,66116.26,42943537815.54,1305367070263.56,54.58472695896359,19698975,81,73,126,13334,750,25845,1011,3982605,10.196231595890735,,
2024-05-16 09:00:00,66301.62,66354.9,66354.9,66135.39,42658828270.55,1307123509993.3,54.653709761357725,19698975,81,73,128,13253,643,25734,797,3780197,10.174879505924869,,
2024-05-16 10:00:00,66175.31,66175.31,66175.31,66126.67,41610152285.61,1303588162744.85,54.44910188912843,19699012,81,73,178,13302,693,25986,965,3906701,10.227889951588146,,
2024-05-16 11:00:00,66174.83,66303.01,66303.01,66046.99,41173240487.94,1306103738650.01,54.74985378287288,19699012,81,72,179,13341,791,26666,1209,4429934,10.385978578383643,,
2024-05-16 12:00:00,66240.82,66240.82,66240.82,65965.27,39457354557.24,1304878692356.93,54.49958494255822,19699012,81,43,40,13664,885,27034,1329,4448733,10.608516165488771,,
2024-05-16 13:00:00,66043.45,66294.49,66294.49,65822.85,37398416378.22,1305940456914.07,54.925711134352504,19699081,81,43,18,13998,1145,27952,1611,4175642,10.649963232632658,,
2024-05-16 14:00:00,65846.6,65846.6,65846.6,65666.59,36677825318.14,1297117566809.24,54.37266676587247,19699081,81,72,10,13813,832,27687,1224,4495197,10.599355317861983,,
2024-05-16 15:00:00,65656.72,65835.83,65835.83,65409.85,35708945657.89,1296905441197.87,55.042375149633614,19699081,81,72,109,13670,724,27869,1063,4605626,10.508950085409493,,
2024-05-16 16:00:00,65167.18,65167.18,65167.18,65105.83,35749167442.47,1283736933779.26,54.245075025764734,19699134,81,72,141,13660,730,27765,974,4915592,10.55498743589646,,
2024-05-16 17:00:00,64972.69,64972.69,64972.69,64613.06,36343245361.28,1279905639923.31,54.46086098735344,19699134,80,72,133,13417,829,26969,1190,4576696,10.487367639224288,,
2024-05-16 18:00:00,65029.85,65150.66,65150.66,64855.44,35817819953.46,1283411649960.61,54.64150595985509,19699134,81,71,110,13437,721,27018,1116,4386508,10.600199307915036,,
2024-05-16 19:00:00,65118.1,65265.36,65265.36,65094.66,33978051313.41,1285674674589.72,54.676446083534145,19699190,80,63,104,13249,694,26938,1029,3995967,10.467212732557236,,
2024-05-16 20:00:00,65183.42,65241.84,65241.84,65078.34,32988808973.33,1285211436394.55,54.605897075267094,19699190,81,63,52,13315,767,27010,1107,3868001,10.494781750503176,,
2024-05-16 21:00:00,65283.91,65481.26,65481.26,65259.24,32692455245.3,1289927809169.42,54.812619310409886,19699190,80,63,50,12893,777,26212,1092,3629930,10.421271926337049,,
2024-05-16 22:00:00,65414.6,65414.6,65414.6,65157.13,32228791248.67,1288618696382.03,54.61423568504965,19699253,80,59,72,12707,687,25602,953,3810989,10.483643108976327,,
2024-05-16 23:00:00,65261.67,65261.67,65261.67,65202.13,31602321232.52,1285606179779.49,54.524075967471965,19699253,80,70,219,12689,438,25722,663,3406879,10.56883176648478,,
2024-05-17 00:00:00,65241.33,65303.95,65303.95,65231.3,30408824594.36,1286439085883.27,54.608130739688576,19699253,80,70,166,12207,485,24819,762,3349134,10.40389008823961,,
2024-05-17 01:00:00,65351.36,65351.36,65351.36,65119.31,30053726763.84,1287377016892.1,54.49898120886555,19699315,81,70,123,12087,470,24650,618,3311865,10.33807388891918,,
